dep;week;P;T;cl_age90
01;2020-S21;0;145;09
01;2020-S21;2;140;19
01;2020-S21;4;268;29
01;2020-S21;6;346;39
01;2020-S21;4;317;49
01;2020-S21;0;320;59
01;2020-S21;4;218;69
01;2020-S21;4;206;79
01;2020-S21;10;182;89
01;2020-S21;7;113;90
01;2020-S21;41;2255;0
01;2020-S22;0;152;09
01;2020-S22;2;178;19
01;2020-S22;0;229;29
01;2020-S22;2;261;39
01;2020-S22;2;256;49
01;2020-S22;1;260;59
01;2020-S22;2;246;69
01;2020-S22;2;230;79
01;2020-S22;3;187;89
01;2020-S22;5;109;90
01;2020-S22;19;2108;0
01;2020-S23;0;89;09
01;2020-S23;0;140;19
01;2020-S23;2;199;29
01;2020-S23;2;187;39
01;2020-S23;2;197;49
01;2020-S23;0;239;59
01;2020-S23;2;173;69
01;2020-S23;0;150;79
01;2020-S23;5;136;89
01;2020-S23;5;64;90
01;2020-S23;18;1574;0
01;2020-S24;0;124;09
01;2020-S24;3;131;19
01;2020-S24;4;185;29
01;2020-S24;0;215;39
01;2020-S24;3;209;49
01;2020-S24;1;207;59
01;2020-S24;3;178;69
01;2020-S24;0;160;79
01;2020-S24;0;142;89
01;2020-S24;1;77;90
01;2020-S24;15;1628;0
01;2020-S25;1;114;09
01;2020-S25;1;129;19
01;2020-S25;2;185;29
01;2020-S25;5;190;39
01;2020-S25;2;196;49
01;2020-S25;1;233;59
01;2020-S25;1;184;69
01;2020-S25;1;187;79
01;2020-S25;2;148;89
01;2020-S25;2;62;90
01;2020-S25;18;1628;0
01;2020-S26;2;211;09
01;2020-S26;6;200;19
01;2020-S26;7;204;29
01;2020-S26;1;260;39
01;2020-S26;6;256;49
01;2020-S26;6;257;59
01;2020-S26;1;235;69
01;2020-S26;2;194;79
01;2020-S26;4;196;89
01;2020-S26;1;92;90
01;2020-S26;36;2105;0
01;2020-S27;2;534;09
01;2020-S27;4;370;19
01;2020-S27;1;337;29
01;2020-S27;6;410;39
01;2020-S27;2;356;49
01;2020-S27;2;315;59
01;2020-S27;1;217;69
01;2020-S27;0;211;79
01;2020-S27;1;157;89
01;2020-S27;1;62;90
01;2020-S27;21;2971;0
01;2020-S28;1;493;09
01;2020-S28;2;321;19
01;2020-S28;4;393;29
01;2020-S28;2;577;39
01;2020-S28;2;394;49
01;2020-S28;1;328;59
01;2020-S28;2;300;69
01;2020-S28;1;204;79
01;2020-S28;2;173;89
01;2020-S28;0;93;90
01;2020-S28;17;3277;0
01;2020-S29;0;220;09
01;2020-S29;1;327;19
01;2020-S29;0;419;29
01;2020-S29;4;560;39
01;2020-S29;3;403;49
01;2020-S29;1;366;59
01;2020-S29;2;323;69
01;2020-S29;0;202;79
01;2020-S29;2;136;89
01;2020-S29;0;58;90
01;2020-S29;13;3014;0
01;2020-S30;0;201;09
01;2020-S30;2;364;19
01;2020-S30;14;496;29
01;2020-S30;11;492;39
01;2020-S30;7;440;49
01;2020-S30;6;362;59
01;2020-S30;5;355;69
01;2020-S30;2;257;79
01;2020-S30;1;158;89
01;2020-S30;1;63;90
01;2020-S30;49;3190;0
01;2020-S31;5;206;09
01;2020-S31;3;496;19
01;2020-S31;21;550;29
01;2020-S31;16;627;39
01;2020-S31;7;521;49
01;2020-S31;10;486;59
01;2020-S31;3;382;69
01;2020-S31;6;249;79
01;2020-S31;0;174;89
01;2020-S31;0;53;90
01;2020-S31;71;3745;0
01;2020-S32;3;204;09
01;2020-S32;7;419;19
01;2020-S32;18;588;29
01;2020-S32;9;590;39
01;2020-S32;9;520;49
01;2020-S32;9;504;59
01;2020-S32;5;391;69
01;2020-S32;2;258;79
01;2020-S32;2;147;89
01;2020-S32;2;50;90
01;2020-S32;66;3671;0
01;2020-S33;3;164;09
01;2020-S33;11;425;19
01;2020-S33;37;699;29
01;2020-S33;10;564;39
01;2020-S33;12;484;49
01;2020-S33;9;418;59
01;2020-S33;8;344;69
01;2020-S33;0;245;79
01;2020-S33;0;137;89
01;2020-S33;0;75;90
01;2020-S33;90;3555;0
01;2020-S34;7;237;09
01;2020-S34;23;672;19
01;2020-S34;53;950;29
01;2020-S34;37;875;39
01;2020-S34;22;724;49
01;2020-S34;24;632;59
01;2020-S34;9;462;69
01;2020-S34;4;287;79
01;2020-S34;2;176;89
01;2020-S34;0;51;90
01;2020-S34;181;5068;0
01;2020-S35;14;304;09
01;2020-S35;46;840;19
01;2020-S35;87;1210;29
01;2020-S35;46;1053;39
01;2020-S35;34;990;49
01;2020-S35;35;900;59
01;2020-S35;10;605;69
01;2020-S35;13;374;79
01;2020-S35;17;230;89
01;2020-S35;20;111;90
01;2020-S35;322;6617;0
01;2020-S36;23;430;09
01;2020-S36;78;773;19
01;2020-S36;104;1390;29
01;2020-S36;81;1249;39
01;2020-S36;69;1173;49
01;2020-S36;52;1153;59
01;2020-S36;23;717;69
01;2020-S36;21;506;79
01;2020-S36;9;279;89
01;2020-S36;2;100;90
01;2020-S36;462;7770;0
01;2020-S37;27;1257;09
01;2020-S37;65;1348;19
01;2020-S37;94;1351;29
01;2020-S37;90;1559;39
01;2020-S37;65;1205;49
01;2020-S37;85;1121;59
01;2020-S37;43;687;69
01;2020-S37;18;516;79
01;2020-S37;8;343;89
01;2020-S37;5;172;90
01;2020-S37;500;9559;0
01;2020-S38;48;989;09
01;2020-S38;88;1732;19
01;2020-S38;118;1361;29
01;2020-S38;114;1659;39
01;2020-S38;126;1411;49
01;2020-S38;79;1141;59
01;2020-S38;32;766;69
01;2020-S38;35;547;79
01;2020-S38;15;305;89
01;2020-S38;5;134;90
01;2020-S38;660;10045;0
01;2020-S39;15;360;09
01;2020-S39;65;1471;19
01;2020-S39;131;1165;29
01;2020-S39;64;1193;39
01;2020-S39;77;1066;49
